Transaction_ID,Order_Date,Customer_Name,Customer_Email,Product_SKU,Category,Quantity,Unit_Price,Gross_Sales,Discount_Pct,Net_Revenue,Payment_Type,Shipping_State,Shipping_City,Zip_Code,Order_Status,Return_Reason,Customer_Type,Coupon_Used,Store_Region,Loyalty_Pts,Notes
TXN-15075,8/8/2023,"doe, john",user23@gmail.com,00936,Beauty,3,$159.54,$1693.02,0,349.12,Credit Card,New York,Miami,53025,cancelled,Defective,Returning,,East,359,
TXN-94080,9/13/2023,Alice Brown,user24@gmail.com,963,toys,3,$470.23,$673.01,13%,276.07,cc,CA,San Francisco,88193,Refunded,Late,New,FREESHIP,West,620,
TXN-77033,2023-02-13,"SMITH, JANE",user25@gmail.com,00294,Apparel,1,$357.30,$502.54,0,1389.11,STRIPE,New York,Austin,66531,Completed,Late,Returning,,Northeast,N/A,
TXN-51145,11/28/2023,John Doe,user26@gmail.com,00837,Apparel,5,$161.55,$1112.59,0,609.58,cc,il,NYC,35144,Refunded,None,Returning,WELCOME5,Northeast,582,
TXN-49446,7/18/2023,John Doe,user27@gmail.com,00411,Apparel,2,$220.65,$1369.98,0,985.51,apple_pay,Florida,Miami,98555,shipped,,New,,West,812,
TXN-32241,11/3/2023,J. Doe,user28@gmail.com,00627,Books,5,$174.24,$1727.64,12%,1012.47,PayPal,New York,NYC,13201,Completed,Size,Returning,None,Northeast,870,
TXN-19545,8/14/2023,Alice Brown,user29@gmail.com,00689,Home & Kitchen,4,$252.24,$865.98,0,987.53,Credit Card,California,Miami,38683,shipped,,Returning,,West,51,
173060,2023-04-28,John Doe, ,00567,Home & Kitchen,4,$337.11,$1981.84,0,897.22,apple_pay,Illinois,Chicago,65933,PENDING,None,New,WELCOME5,West,N/A,
TXN-68991,5/25/2023,"doe, john",user31@gmail.com,00960,Books,3,$385.25,$1281.95,0,943.86,cc,Florida,San Francisco,47450,shipped,Late,Returning,,East,327,
TXN-80798,2/5/2023,"doe, john",user32@gmail.com,336,Beauty,2,$356.15,$596.34,18%,503.01,apple_pay,FL,San Francisco,37110,Refunded,None,Returning,SUMMER10,Northeast,389,
TXN-72518,1/12/2023,J. Doe,user33@gmail.com,00871,Beauty,4,$273.73,$1601.95,0,1201.8,PayPal,Florida,NYC,45774,Refunded,None,New,,North,398,
TXN-54057,11/22/2023,Jane Smith,user34@gmail.com,00841,Home & Kitchen,4,$460.58,$1971.08,0,805.84,apple_pay,Illinois,Chicago,96900,Completed,Defective,Returning,None,South,887,
TXN-70515,2023-03-02,J. Doe,user35@gmail.com,00488,Apparel,2,$232.80,$1006.25,0,1320.66,cc,FL,Austin,20735,Refunded,Defective,Returning,,Northeast,N/A,
TXN-16826,6/8/2023,Alice Brown,user36@gmail.com,00170,books,1,$379.57,$1924.42,11%,1260.45,STRIPE,NY,NYC,26544,Refunded,Defective,New,WELCOME5,West,716,
TXN-43586,6/6/2023,"SMITH, JANE",user37@gmail.com,00721,Books,1,$391.12,$745.65,0,473.45,STRIPE,CA,Austin,85470,Refunded,None,Returning,,South,77,
TXN-87607,12/27/2023,Alice Brown,user38@gmail.com,00348,Electronics,3,$426.64,$1400.62,0,190.37,STRIPE,CA,Austin,79827,Refunded,Late,Returning,SUMMER10,Northeast,663,
TXN-54725,1/28/2023,Jane Smith,user39@gmail.com,00942,Beauty,1,$222.43,$1043.28,0,1338.45,apple_pay,NY,Miami,33086,PENDING,Late,New,,Northeast,827,
170539,2023-08-15,Jane Smith,user40@gmail.com,945,Books,5,$141.51,$1777.57,7%,,cc,Florida,NYC,70910,PENDING,,Returning,None,East,N/A,
TXN-13761,8/28/2023,J. Doe,user41@gmail.com,00286,Beauty,2,$183.86,$887.53,0,426.69,STRIPE,TX,Chicago,11330,PENDING,Size,Returning,,North,247,
TXN-63271,8/18/2023,"doe, john",user42@gmail.com,00807,Beauty,4,$229.61,$525.86,0,448.41,apple_pay,New York,Austin,97026,PENDING,Late,New,None,Northeast,543,
TXN-55056,7/24/2023,"SMITH, JANE",user43@gmail.com,00438,Apparel,4,$142.75,$877.11,0,189.78,PayPal,Texas,San Francisco,80236,shipped,Size,Returning,,South,756,
TXN-73464,5/24/2023,"SMITH, JANE",user44@gmail.com,00878,Toys,5,$148.67,$650.79,11%,451.41,cc,NY,Austin,11854,PENDING,Size,Returning,FREESHIP,North,997,
TXN-17146,2023-09-10,Alice Brown, ,00229,Books,4,$60.27,$518.40,0,433.67,apple_pay,Florida,Austin,34164,Completed,Late,New,,West,N/A,
TXN-24953,2/13/2023,Jane Smith,user46@gmail.com,00175,Toys,1,$84.35,$1716.71,0,1424.2,Credit Card,New York,San Francisco,83147,Refunded,,Returning,WELCOME5,Northeast,389,
TXN-69049,8/10/2023,"SMITH, JANE",user47@gmail.com,00539,Apparel,5,$314.30,$1414.45,0,1112.73,PayPal,New York,Austin,96563,Completed,Size,Returning,,South,177,
TXN-82350,2/6/2023,John Doe,user48@gmail.com,518,beauty,5,$240.26,$548.96,14%,1063.36,apple_pay,California,NYC,44675,PENDING,Size,New,None,North,557,
TXN-39466,11/5/2023,J. Doe,user49@gmail.com,00946,Home & Kitchen,1,$39.22,$1688.94,0,896.62,STRIPE,TX,Miami,26299,Refunded,Late,Returning,,West,965,
135683,2023-09-18,Jane Smith,user50@gmail.com,00548,Electronics,5,$29.53,$1148.04,0,490.26,cc,CA,San Francisco,40005,PENDING,,Returning,SUMMER10,East,N/A,Call customer
TXN-85529,1/25/2023,"doe, john",user51@gmail.com,00581,Toys,4,$458.88,$772.23,0,882.14,apple_pay,California,Miami,55607,Refunded,Late,New,,East,686,
TXN-23710,3/11/2023,Jane Smith,user52@gmail.com,00810,Beauty,3,$334.67,$1100.68,6%,687.69,cc,TX,Austin,25194,Refunded,,Returning,SUMMER10,Northeast,473,
TXN-64165,1/7/2023,"SMITH, JANE",user53@gmail.com,00470,Toys,4,$316.45,$1639.99,0,313.3,STRIPE,NY,Austin,67424,Refunded,Defective,Returning,,North,996,
TXN-92578,10/26/2023,"doe, john",user54@gmail.com,00826,Home & Kitchen,3,$279.91,$1328.38,0,148.88,Credit Card,Florida,San Francisco,94896,shipped,None,New,FREESHIP,Northeast,722,
TXN-45838,2023-07-27,Jane Smith,user55@gmail.com,00583,Home & Kitchen,4,$280.12,$1075.38,0,1383.58,STRIPE,NY,San Francisco,46208,Refunded,Late,Returning,,Northeast,N/A,
TXN-45018,1/10/2023,Alice Brown,user56@gmail.com,405,Toys,5,$499.46,$1234.46,9%,675.36,apple_pay,Texas,Austin,82340,PENDING,None,Returning,None,East,890,
TXN-34727,12/8/2023,"SMITH, JANE",user57@gmail.com,00492,Home & Kitchen,4,$31.39,$1617.06,0,1060.79,apple_pay,FL,NYC,74923,Completed,Size,New,,Northeast,988,
TXN-87356,6/28/2023,John Doe,user58@gmail.com,00995,Beauty,1,$267.72,$1185.39,0,1086.44,apple_pay,NY,San Francisco,71537,cancelled,Late,Returning,None,North,872,
TXN-53065,11/28/2023,"SMITH, JANE",user59@gmail.com,00489,Apparel,4,$437.47,$553.85,0,111.95,cc,New York,San Francisco,66881,Completed,Defective,Returning,,West,170,
190964,2023-05-01,John Doe, ,00432,electronics,3,$185.65,$1146.03,12%,,STRIPE,FL,Chicago,99364,shipped,Size,New,WELCOME5,North,N/A,
TXN-89887,7/20/2023,Alice Brown,user61@gmail.com,00346,Beauty,5,$80.13,$1191.72,0,388.43,cc,CA,Miami,47700,PENDING,Size,Returning,,North,452,
TXN-55293,10/10/2023,Alice Brown,user62@gmail.com,00534,Books,3,$233.85,$953.18,0,1499.07,apple_pay,California,NYC,59986,PENDING,Late,Returning,FREESHIP,East,22,
TXN-96275,7/9/2023,John Doe,user63@gmail.com,00679,Books,1,$456.20,$1617.76,0,1250.93,cc,New York,Chicago,56179,shipped,Size,New,,Northeast,256,
TXN-98835,12/25/2023,Alice Brown,user64@gmail.com,797,Home & Kitchen,1,$452.67,$1469.51,14%,1185.03,Credit Card,Illinois,Austin,27224,Completed,Late,Returning,FREESHIP,West,179,
TXN-36318,2023-03-26,"SMITH, JANE",user65@gmail.com,00997,Apparel,5,$255.88,$908.79,0,255.17,apple_pay,TX,Austin,25095,Refunded,Defective,Returning,,South,N/A,
TXN-39571,11/24/2023,Alice Brown,user66@gmail.com,00506,Toys,3,$54.25,$1091.86,0,404.04,Credit Card,Florida,Austin,98188,cancelled,,New,None,East,110,
TXN-98452,4/16/2023,John Doe,user67@gmail.com,00734,Toys,3,$458.48,$832.05,0,104.19,apple_pay,TX,Miami,25292,shipped,Defective,Returning,,North,311,
TXN-74569,2/4/2023,"doe, john",user68@gmail.com,00650,Home & Kitchen,4,$232.29,$1505.73,18%,885.14,PayPal,FL,San Francisco,74139,PENDING,None,Returning,FREESHIP,North,706,
TXN-58566,4/15/2023,Jane Smith,user69@gmail.com,00341,Apparel,1,$490.65,$1051.00,0,1353.53,cc,CA,Miami,46160,shipped,Defective,New,,West,93,
186870,2023-04-21,Alice Brown,user70@gmail.com,00711,Electronics,1,$395.53,$865.35,0,197.63,STRIPE,New York,San Francisco,82641,shipped,,Returning,WELCOME5,South,N/A,
TXN-53064,3/26/2023,"SMITH, JANE",user71@gmail.com,00102,Apparel,2,$493.89,$1310.32,0,1199.79,Credit Card,CA,NYC,11947,cancelled,Size,Returning,,Northeast,331,
TXN-12068,3/9/2023,John Doe,user72@gmail.com,229,books,4,$267.78,$1618.50,20%,677.93,cc,il,Chicago,24293,Refunded,,New,WELCOME5,Northeast,44,
TXN-96363,9/10/2023,Jane Smith,user73@gmail.com,00758,Electronics,1,$499.31,$1770.95,0,645.15,Credit Card,Florida,Miami,19632,Completed,Late,Returning,,Northeast,151,
TXN-18609,3/9/2023,"SMITH, JANE",user74@gmail.com,00748,Toys,5,$358.95,$1071.36,0,900.11,cc,Florida,Chicago,89354,Refunded,Defective,Returning,SUMMER10,Northeast,738,
TXN-38183,2023-07-15,"doe, john", ,00523,Apparel,4,$205.38,$1594.42,0,475.7,cc,TX,Austin,30006,Refunded,Defective,New,,North,N/A,
TXN-21188,2/14/2023,John Doe,user76@gmail.com,00862,Books,3,$407.77,$1334.56,15%,1008.32,apple_pay,Texas,Miami,16743,cancelled,,Returning,FREESHIP,East,106,
TXN-85748,9/7/2023,"doe, john",user77@gmail.com,00772,Beauty,2,$425.16,$1025.17,0,838.84,Credit Card,TX,Chicago,39643,Refunded,,Returning,,Northeast,628,
TXN-98470,11/18/2023,John Doe,user78@gmail.com,00723,Books,3,$24.19,$909.91,0,1145.99,cc,Texas,San Francisco,33777,shipped,,New,None,North,145,
TXN-92991,1/3/2023,Alice Brown,user79@gmail.com,00643,Home & Kitchen,4,$215.72,$1011.34,0,561.38,cc,Illinois,Chicago,21135,Completed,Size,Returning,,South,772,
180981,2023-01-22,John Doe,user80@gmail.com,378,Beauty,4,$247.97,$1163.07,13%,,PayPal,il,San Francisco,55242,Refunded,Defective,Returning,FREESHIP,Northeast,N/A,
TXN-73783,9/22/2023,J. Doe,user81@gmail.com,00146,Home & Kitchen,4,$492.38,$582.17,0,314.59,PayPal,NY,Austin,47938,cancelled,Defective,New,,North,509,
TXN-66446,3/5/2023,Jane Smith,user82@gmail.com,00645,Books,2,$255.13,$1750.03,0,1211.24,Credit Card,FL,San Francisco,67176,Completed,None,Returning,SUMMER10,East,589,
TXN-66267,10/13/2023,Alice Brown,user83@gmail.com,00755,Beauty,3,$66.43,$531.28,0,493.9,STRIPE,Florida,Austin,21551,Refunded,Defective,Returning,,South,446,
TXN-87184,7/17/2023,John Doe,user84@gmail.com,00505,apparel,3,$118.57,$1668.68,7%,770.62,Credit Card,il,Chicago,35415,cancelled,Late,New,WELCOME5,South,105,
TXN-29194,2023-05-07,"doe, john",user85@gmail.com,00716,Home & Kitchen,1,$96.80,$1659.27,0,746.23,STRIPE,Illinois,Miami,99277,PENDING,,Returning,,East,N/A,
TXN-92210,6/5/2023,Jane Smith,user86@gmail.com,00169,Beauty,4,$319.38,$1694.49,0,891.22,cc,il,San Francisco,50685,Refunded,None,Returning,SUMMER10,North,377,
TXN-47627,2/21/2023,John Doe,user87@gmail.com,00729,Toys,5,$198.40,$1370.49,0,1431.8,Credit Card,Florida,Chicago,95437,shipped,Late,New,,Northeast,487,
TXN-75715,3/2/2023,Jane Smith,user88@gmail.com,205,Apparel,1,$257.23,$758.84,12%,1064.36,apple_pay,il,Chicago,89928,shipped,Late,Returning,FREESHIP,East,396,
TXN-63578,6/22/2023,"SMITH, JANE",user89@gmail.com,00153,Books,3,$42.30,$641.76,0,1020.79,cc,TX,Chicago,29709,cancelled,Defective,Returning,,Northeast,679,
118537,2023-06-10,Alice Brown, ,00815,Books,4,$73.19,$1563.25,0,136.23,STRIPE,FL,Austin,26750,PENDING,Defective,New,None,Northeast,N/A,
TXN-57425,1/12/2023,J. Doe,user91@gmail.com,00284,Home & Kitchen,3,$474.36,$1229.41,0,347.55,PayPal,NY,San Francisco,48770,Completed,,Returning,,Northeast,855,
TXN-79013,1/22/2023,J. Doe,user92@gmail.com,00997,Toys,2,$302.65,$731.38,10%,1248.7,STRIPE,NY,Miami,15726,Refunded,Late,Returning,WELCOME5,West,625,
TXN-47346,12/26/2023,Jane Smith,user93@gmail.com,00339,Toys,2,$161.64,$1712.94,0,708.83,PayPal,Texas,Chicago,67749,Refunded,Late,New,,West,514,
TXN-79135,7/6/2023,"doe, john",user94@gmail.com,00920,Toys,2,$437.77,$578.27,0,726.08,cc,il,San Francisco,77621,Completed,Late,Returning,SUMMER10,South,279,
TXN-68893,2023-09-05,Jane Smith,user95@gmail.com,00193,Home & Kitchen,4,$443.47,$1895.71,0,628.2,apple_pay,il,Austin,40903,Refunded,Defective,Returning,,East,N/A,
TXN-39430,1/11/2023,John Doe,user96@gmail.com,959,books,3,$397.78,$706.40,14%,1376.92,apple_pay,NY,Miami,68799,PENDING,Defective,New,SUMMER10,North,262,
TXN-38266,3/18/2023,Alice Brown,user97@gmail.com,00723,Toys,4,$64.48,$932.15,0,458.72,Credit Card,New York,Miami,93748,PENDING,None,Returning,,North,113,
TXN-75513,10/18/2023,John Doe,user98@gmail.com,00747,Toys,5,$128.55,$715.37,0,649.57,STRIPE,Texas,NYC,84798,Refunded,Size,Returning,SUMMER10,Northeast,998,
TXN-57265,2/17/2023,"SMITH, JANE",user99@gmail.com,00619,Toys,5,$19.96,$1810.00,0,74.87,apple_pay,Texas,Austin,12128,cancelled,Defective,New,,East,246,
196068,2023-11-21,John Doe,user100@gmail.com,00890,Toys,3,$75.37,$1028.45,15%,,PayPal,Florida,Miami,92802,shipped,Size,Returning,SUMMER10,West,N/A,Call customer
TXN-14847,5/7/2023,John Doe,user101@gmail.com,00910,Home & Kitchen,1,$164.64,$965.11,0,603.35,STRIPE,Florida,Austin,14799,shipped,Late,Returning,,East,882,
TXN-16265,11/11/2023,J. Doe,user102@gmail.com,00227,Apparel,4,$445.85,$1614.96,0,1343.01,apple_pay,Texas,NYC,75038,Refunded,Late,New,FREESHIP,North,744,
TXN-65640,2/14/2023,"SMITH, JANE",user103@gmail.com,00942,Home & Kitchen,5,$153.95,$653.90,0,498.6,cc,TX,Miami,88986,Refunded,Size,Returning,,West,359,
TXN-68606,1/24/2023,J. Doe,user104@gmail.com,729,Beauty,3,$323.34,$1687.22,6%,121.81,apple_pay,Texas,Chicago,99051,shipped,Defective,Returning,WELCOME5,Northeast,694,
TXN-67432,2023-01-05,John Doe, ,00341,Books,3,$187.45,$1924.20,0,58.25,PayPal,Florida,Austin,58760,Refunded,Defective,New,,Northeast,N/A,
TXN-28047,9/12/2023,Jane Smith,user106@gmail.com,00421,Books,3,$132.31,$670.17,0,1106.16,apple_pay,il,Miami,83619,Completed,Late,Returning,FREESHIP,West,219,
TXN-90199,5/23/2023,Jane Smith,user107@gmail.com,00304,Electronics,2,$427.88,$1178.06,0,1349.03,apple_pay,California,Austin,97535,cancelled,Defective,Returning,,Northeast,555,
TXN-48058,5/28/2023,"doe, john",user108@gmail.com,00828,books,2,$398.91,$1263.13,8%,1477.85,PayPal,New York,Miami,13445,cancelled,,New,FREESHIP,West,822,
TXN-82305,3/20/2023,John Doe,user109@gmail.com,00167,Apparel,4,$499.80,$1578.30,0,793.29,apple_pay,Illinois,San Francisco,26426,cancelled,Defective,Returning,,West,477,
189143,2023-09-12,"doe, john",user110@gmail.com,00999,Toys,5,$99.16,$1949.40,0,654.6,Credit Card,California,Chicago,30056,cancelled,Size,Returning,WELCOME5,East,N/A,
TXN-39552,6/17/2023,J. Doe,user111@gmail.com,00966,Electronics,3,$106.19,$1934.53,0,418.93,cc,Illinois,Chicago,22245,PENDING,Size,New,,Northeast,964,
TXN-86106,3/6/2023,Alice Brown,user112@gmail.com,739,Books,5,$175.43,$1885.89,6%,1239.6,Credit Card,California,San Francisco,94076,PENDING,Late,Returning,WELCOME5,Northeast,426,
TXN-91016,11/1/2023,Jane Smith,user113@gmail.com,00742,Toys,3,$324.53,$953.14,0,374.87,apple_pay,TX,Miami,19564,Completed,Size,Returning,,West,425,
TXN-73471,8/7/2023,J. Doe,user114@gmail.com,00721,Home & Kitchen,3,$432.13,$978.97,0,1482.15,cc,FL,NYC,58567,PENDING,,New,SUMMER10,East,247,
TXN-71141,2023-02-09,Jane Smith,user115@gmail.com,00353,Home & Kitchen,1,$34.80,$1918.08,0,1297.6,apple_pay,New York,NYC,52917,PENDING,Late,Returning,,South,N/A,
TXN-30885,8/17/2023,Jane Smith,user116@gmail.com,00610,Apparel,4,$21.36,$1917.85,19%,1450.36,PayPal,Illinois,Austin,16377,Completed,Late,Returning,None,Northeast,903,
TXN-95755,11/16/2023,J. Doe,user117@gmail.com,00649,Electronics,1,$221.15,$1823.68,0,1093.99,apple_pay,Texas,San Francisco,62505,Completed,,New,,Northeast,199,
TXN-57516,9/10/2023,John Doe,user118@gmail.com,00495,Toys,4,$384.56,$919.58,0,1483.75,STRIPE,California,NYC,22672,Refunded,Late,Returning,FREESHIP,Northeast,961,
TXN-57920,3/7/2023,"SMITH, JANE",user119@gmail.com,00621,Beauty,5,$29.72,$558.37,0,1073.25,apple_pay,il,Miami,29521,PENDING,,Returning,,South,335,
180356,2023-06-06,Jane Smith, ,731,books,3,$300.93,$1260.97,20%,,STRIPE,TX,Miami,12180,cancelled,Late,New,SUMMER10,West,N/A,
TXN-86507,5/26/2023,Alice Brown,user121@gmail.com,00993,Books,1,$302.49,$898.30,0,986.83,STRIPE,Illinois,NYC,16731,PENDING,None,Returning,,South,536,
TXN-92447,12/20/2023,Jane Smith,user122@gmail.com,00251,Books,2,$25.47,$1922.31,0,173.74,Credit Card,Florida,Austin,64890,shipped,None,Returning,WELCOME5,West,513,
TXN-90147,8/28/2023,Alice Brown,user123@gmail.com,00844,Electronics,2,$264.15,$1341.33,0,1497.2,apple_pay,il,Miami,51124,shipped,None,New,,Northeast,350,
TXN-81601,6/22/2023,Alice Brown,user124@gmail.com,00797,Books,3,$308.94,$788.40,12%,425.72,cc,New York,Austin,47880,shipped,None,Returning,FREESHIP,West,357,
TXN-83464,2023-12-09,J. Doe,user125@gmail.com,00224,Toys,5,$196.05,$1970.24,0,1229.38,PayPal,TX,San Francisco,47700,Completed,Late,Returning,,West,N/A,
TXN-95979,5/24/2023,Jane Smith,user126@gmail.com,00319,Home & Kitchen,5,$142.86,$1343.03,0,414.72,Credit Card,Illinois,Chicago,41363,shipped,Defective,New,WELCOME5,South,53,
TXN-23133,7/11/2023,Alice Brown,user127@gmail.com,00583,Electronics,2,$12.54,$1325.53,0,1394.36,apple_pay,Florida,Miami,95267,shipped,Late,Returning,,East,292,
TXN-94659,1/25/2023,John Doe,user128@gmail.com,767,Toys,2,$272.22,$1584.68,6%,1370.71,PayPal,FL,NYC,14763,Refunded,None,Returning,WELCOME5,East,897,
TXN-14910,1/10/2023,"SMITH, JANE",user129@gmail.com,00717,Electronics,3,$149.44,$1983.65,0,819.52,apple_pay,NY,Chicago,71344,cancelled,Size,New,,North,338,
121298,2023-12-15,Alice Brown,user130@gmail.com,00363,Books,2,$16.90,$1005.67,0,449.59,PayPal,NY,Chicago,93719,Refunded,None,Returning,FREESHIP,North,N/A,
TXN-62538,11/4/2023,"doe, john",user131@gmail.com,00243,Beauty,3,$468.55,$510.25,0,581.53,apple_pay,TX,Austin,49576,PENDING,,Returning,,North,267,
TXN-95679,6/23/2023,"doe, john",user132@gmail.com,00163,books,1,$238.04,$739.58,14%,1038.53,cc,Texas,Chicago,38947,shipped,Size,New,None,South,465,
TXN-89395,6/14/2023,Alice Brown,user133@gmail.com,00662,Beauty,5,$402.98,$1738.41,0,1145.17,STRIPE,California,Chicago,68556,PENDING,Late,Returning,,North,939,
TXN-83946,2/2/2023,"SMITH, JANE",user134@gmail.com,00617,Home & Kitchen,5,$272.96,$746.81,0,1283.18,apple_pay,California,NYC,86434,Refunded,Defective,Returning,None,North,464,
TXN-27294,2023-09-14,Jane Smith, ,00677,Electronics,5,$236.57,$1710.37,0,1087.69,apple_pay,TX,San Francisco,38560,PENDING,Defective,New,,North,N/A,
TXN-65534,6/23/2023,John Doe,user136@gmail.com,654,Electronics,1,$493.21,$1208.11,14%,619.21,PayPal,FL,Austin,60132,Refunded,None,Returning,None,North,699,
TXN-96742,9/5/2023,Alice Brown,user137@gmail.com,00980,Apparel,1,$97.45,$1305.89,0,797.98,PayPal,CA,San Francisco,49107,Refunded,,Returning,,West,544,
TXN-59712,4/8/2023,Jane Smith,user138@gmail.com,00454,Home & Kitchen,3,$102.36,$1812.81,0,1150.58,Credit Card,FL,Chicago,12050,shipped,Size,New,SUMMER10,North,608,
TXN-14400,8/20/2023,Alice Brown,user139@gmail.com,00820,Electronics,2,$372.87,$1103.40,0,359.17,PayPal,CA,NYC,76046,cancelled,Size,Returning,,Northeast,326,
175690,2023-10-25,Alice Brown,user140@gmail.com,00938,Apparel,2,$157.86,$714.89,12%,,apple_pay,TX,Austin,17989,PENDING,,Returning,WELCOME5,West,N/A,
TXN-82856,8/2/2023,J. Doe,user141@gmail.com,00758,Books,4,$395.04,$978.10,0,630.32,PayPal,TX,Miami,34101,PENDING,None,New,,South,869,
TXN-39536,5/28/2023,Alice Brown,user142@gmail.com,00247,Beauty,1,$285.57,$1951.68,0,840.36,PayPal,FL,NYC,43422,shipped,Late,Returning,SUMMER10,West,867,
TXN-58637,2/18/2023,Alice Brown,user143@gmail.com,00949,Home & Kitchen,1,$141.55,$1510.51,0,908.35,Credit Card,New York,Chicago,98008,PENDING,Size,Returning,,West,213,
TXN-53642,5/1/2023,"doe, john",user144@gmail.com,294,books,1,$375.97,$1631.50,12%,1046.48,PayPal,FL,NYC,82362,cancelled,Late,New,None,West,546,
TXN-95029,2023-06-10,J. Doe,user145@gmail.com,00468,Toys,4,$238.34,$1704.22,0,1086.4,cc,New York,Austin,51015,Refunded,Defective,Returning,,Northeast,N/A,
TXN-39002,12/5/2023,John Doe,user146@gmail.com,00367,Toys,5,$293.78,$1126.37,0,237.09,cc,New York,Miami,84683,shipped,None,Returning,FREESHIP,East,781,
TXN-74044,12/21/2023,Alice Brown,user147@gmail.com,00602,Beauty,2,$369.06,$1028.26,0,218.54,STRIPE,Florida,NYC,81058,Completed,,New,,North,859,
